AICTE ID,NAME,PROGRAMME,UNIVERSITY,LEVEL OF COURSE,COURSE,INTAKE,ADDRESS,ZONE,CITY,DISTRICT,STATE,INSTITUTE TYPE,,
1-36211608059,SRI RAMAKRISHNA DEGREE COLLEGE,MANAGEMENT,RAYALASEEMA UNIVERSITY,POST GRADUATE,MBA,120,N.G.O.'S COLONY NEAR S.B.I. COLONY NANDYAL,RAYALASEEMA,NANDYAL,KURNOOL,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36211608059,SRI RAMAKRISHNA DEGREE COLLEGE,MANAGEMENT,RAYALASEEMA UNIVERSITY,POST GRADUATE,MBA(FINANCE),30,N.G.O.'S COLONY NEAR S.B.I. COLONY NANDYAL,RAYALASEEMA,NANDYAL,KURNOOL,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36596349695,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,MANAGEMENT,"ADIKAVI NANNAYA UNIVERSITY, RAJAHMUNDRY",POST GRADUATE,MBA,120,"VENKATAPURAM (VILLAGE), MANGALAM ROAD, KARAKAMBADI(POST), RENIGUNTA(MANDAL),TIRUPATI-517520, CHITTOOR DIST",COASTAL,KAKINADA,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36596538182,SANJEEV INSTITUTE OF PLANNING AND MANAGEMENT,MANAGEMENT,"ACHARYA NAGARJUNA UNIVERSITY, GUNTUR",POST GRADUATE,MBA,60,SANJEEV INSTITUTE OF PLANNING AND MANAGEMENT KAKINADA-GOLLAPALEM ROAD TURANGI ROAD KAKINADA EAST GODAVARI DISTRICT ANDHRA PRADESH,COASTAL,GUNTUR,EAST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36250303269,VIJAYAM BUSINESS SCHOOL,MANAGEMENT,"SRI VENKATESWARA UNIVERSITY, TIRUPATI",POST GRADUATE,MASTERS IN BUSINESS ADMINISTRATION (SEM),180,"SUNDARARAJA PURAM(VI),CHITTOOR-PUTHOOR HIGHWAY, PEDDAKALAVA (PO), GANGADHARA NELLORE (MD)",RAYALASEEMA,CHITTOOR,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36595530941,VIGNAN'S NIRULA INSTITUTE OF TECHNOLOGY & SCIENCE FOR WOMEN,MANAGEMENT,"ANDHRA UNIVERSITY, VISAKHAPATNAM",POST GRADUATE,MBA(FINANCE MARKETING AND HUMAN RESOURCE MANAGEMENT),90,"VIGNAN AVENUE PALAKALURU ROAD GUNTUR TEHSIL, GUNTUR - 522 005",COASTAL,VISAKHAPATNAM,GUNTUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36250690729,SRI SATHYA SAI INSTITUTE OF HIGHER LEARNING,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,BUSINESS ADMINISTRATION,60,"SRI SATHYA SAI INSTITUTE OF HIGHER LEARNING DEEMED TO BE UNIVERSITY VIDYAGIRI, PRASANTHI NILAYAM ANANTAPUR DISTRICT ANDHRA PRADESH INDIA PIN 515134",RAYALASEEMA,PRASANTHI NILAYAM,ANANTAPUR,ANDHRA PRADESH,DEEMED TO BE UNIVERSITY(PVT),,
1-36595592853,SANKETIKA VIDYA PARISHAD ENGINEERING COLLEGE,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,120,"TECHNICAL COMPLEX, BESIDE ACA/VDCA CRICKET STADIUM, POTHINAMALLAYYAPALEM, VISAKHAPATNAM PIN-530041 ANDHRA PRADESH",RAYALASEEMA,TIRUPATI,VISHAKHAPATNAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36261565914,R.K. COLLEGE OF ENGINEERING,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,240,"R.S.NO.52,53 ,NAVEPOTAVARAM VILLAGE,KETHANA KONDA,IBRAHIMPATNAM 521456,VIJAYAWADA,A.P.",COASTAL ANDHRA,VIJAYAWADA,KRISHNA,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36597330864,ST. ANN'S COLLEGE FOR WOMEN,MANAGEMENT,"ACHARYA NAGARJUNA UNIVERSITY, GUNTUR",POST GRADUATE,MBA,120,"ST. ANN'S COLLEGE FOR WOMEN AMARAVATHI ROAD, GORANTLA, GUNTUR - 522035, ANDHRA PRADESH",COASTAL,SINGARAYAKONDA,GUNTUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
